Abathur: Role Support; RoleDetail Enabler; Lane Macro; Dmg Mixed; Rng R; WC M; Camp L; ENG N; Peel M; CC Slow; Macro H; Global Y; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Protect; Provides Macro|Vision|Save|Poke; Needs Frontline|Peel|Waveclear; Weaknesses LowSurvivability|VulnerableDive|NeedsSetup; PowerCurve Mid|Late|Scaling; Contested M; ENG-Q None L; CC-Q TargetArea M; SAVE-Q Conditional H; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate B.
Alarak: Role Melee; RoleDetail FlexDPS; Lane 4man; Dmg Mixed; Rng M; WC M; Camp M; ENG S; Peel L; CC Silence, Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Pick, Wombo; Provides Burst|Pick|SetupCC|Interrupt; Needs Frontline|Peel|FollowUp; Weaknesses LowMobility|LowSurvivability|NeedsSetup; PowerCurve Mid|Late|Scaling; Contested M; ENG-Q Skillshot M; CC-Q Skillshot M; SAVE-Q None L; INT-Q Skillshot M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Alexstrasza: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC L; Camp L; ENG N; Peel M; CC Root, Slow; Macro M; Global N; Cleanse S; Reveal N; Stealth N; Antiheal N; Styles Protect; Provides SustainHeal|Save|Disengage|Teamfight; Needs Frontline|Peel|AntiDive; Weaknesses LowMobility|VulnerableDive|VulnerableInterrupts; PowerCurve Mid|Spike10; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q TargetArea H; INT-Q None L; CleanseGate T; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Ana: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC L; Camp L; ENG N; Peel M; CC Sleep, Slow; Macro M; Global N; Cleanse S; Reveal N; Stealth N; Antiheal Y; Styles Protect, Pick; Provides SustainHeal|AntiHeal|SetupCC|Pick|Poke|Interrupt; Needs Frontline|Peel|Disengage; Weaknesses LowMobility|VulnerableDive|VulnerableFlank; PowerCurve Early|Mid; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q TargetArea M; INT-Q Skillshot M; CleanseGate T; AntihealGate B; RevealGate N; InterruptGate B; EngageGate N; GlobalGate N.
Anduin: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC L; Camp L; ENG N; Peel H; CC Root, Slow; Macro M; Global N; Cleanse S; Reveal N; Stealth N; Antiheal N; Styles Protect; Provides SustainHeal|Save|Peel|Disengage|SetupCC; Needs Frontline|Waveclear; Weaknesses LowMobility|VulnerableDive; PowerCurve Mid|Spike10; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q PointClick H; INT-Q None L; CleanseGate T; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Anub’arak: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Spell; Rng M; WC M; Camp M; ENG H; Peel M; CC Stun, Root, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Pick; Provides Engage|SetupCC|Interrupt|AntiDive; Needs FollowUpDamage|SustainHeal; Weaknesses LowSurvivability|VulnerablePoke; PowerCurve Early|Mid|Spike10; Contested H; ENG-Q Skillshot H; CC-Q Skillshot H; SAVE-Q None L; INT-Q Skillshot H; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Artanis: Role Bruiser; RoleDetail Offlane; Lane Offlane; Dmg AA; Rng M; WC M; Camp M; ENG S; Peel L; CC Displace, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Dive, Macro; Provides SustainDmg|Offlane|SelfSustain|Macro; Needs SetupCC|Peel|Disengage; Weaknesses LowMobility|VulnerableKite|VulnerableBlinds; PowerCurve Mid|Spike16; Contested M; ENG-Q Skillshot M; CC-Q Skillshot M; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate B; GlobalGate N.
Arthas: Role Tank or Bruiser; RoleDetail OffTank; Lane Flex; Dmg Mixed; Rng M; WC M; Camp M; ENG S; Peel H; CC Root, Slow; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight; Provides Peel|AntiDive|SetupCC|Frontline|Zone; Needs FollowUpDamage|Waveclear; Weaknesses LowMobility|VulnerablePoke|VulnerableKite; PowerCurve Early|Mid; Contested M; ENG-Q Conditional L; CC-Q Skillshot H; SAVE-Q None L; INT-Q Skillshot M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
Auriel: Role Healer; RoleDetail MainHealer; Lane 4man; Dmg Spell; Rng R; WC L; Camp L; ENG N; Peel M; CC Stun, Slow; Macro M; Global N; Cleanse S; Reveal N; Stealth N; Antiheal N; Styles Wombo, Protect; Provides SustainHeal|Save|SetupCC|Teamfight; Needs Battery|Frontline|Waveclear; Weaknesses NeedsSetup|WeakEarly|VulnerableDive; PowerCurve Mid|Spike10; Contested M; ENG-Q None L; CC-Q Skillshot M; SAVE-Q Heroic H; INT-Q Skillshot M; CleanseGate T; AntihealGate N; RevealGate N; InterruptGate B; EngageGate N; GlobalGate N.
Azmodan: Role Ranged; RoleDetail RangedDPS; Lane Macro; Dmg Spell; Rng R; WC H; Camp H; ENG N; Peel L; CC Slow; Macro H; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Macro, Poke; Provides Waveclear|Siege|Poke|Macro|CampClear; Needs Frontline|Peel|Disengage; Weaknesses LowMobility|VulnerableDive|LowSelfPeel; PowerCurve Mid|Late|Scaling; Contested M; ENG-Q None L; CC-Q TargetArea L; SAVE-Q None L; INT-Q None L; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate N; EngageGate N; GlobalGate N.
Blaze: Role Tank; RoleDetail MainTank; Lane 4man; Dmg Spell; Rng M; WC H; Camp M; ENG S; Peel H; CC Stun, Slow, Displace; Macro M; Global N; Cleanse N; Reveal N; Stealth N; Antiheal N; Styles Teamfight; Provides Frontline|Peel|AntiDive|SetupCC|Waveclear|Disengage; Needs FollowUpDamage|SustainHeal; Weaknesses VulnerablePoke; PowerCurve Mid|Spike10; Contested M; ENG-Q Skillshot M; CC-Q TargetArea H; SAVE-Q Conditional M; INT-Q Skillshot M; CleanseGate N; AntihealGate N; RevealGate N; InterruptGate B; EngageGate B; GlobalGate N.
